eventurl,imageurl,eventname,description,attendees,day,date,time,timezone,eventtype,attendees_range
https://www.meetup.com/toronto-spiritual-experiences-group/events/304220866/?recId=6382d02c-5011-4f02-a053-484afd2904d0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/b/c/event_516603004.webp?w=640,Awaken to Higher Consciousness   --  Tune into the Sound Current with HU,The Toronto Spiritual Experiences Group - Eckankar,9.0,Sunday,2024-11-03,08:15 PM,EST,Inperson,1-10
https://www.meetup.com/drink-draw-toronto/events/304166290/?recId=26f18846-8715-4bb2-9ec4-d1d2c14e5c5c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/e/3/8/event_524256408.webp?w=640,Drink & Draw Toronto #61: November Vibes 🍂 🍵 🍁 ☕,Drink and Draw Toronto,27.0,Monday,2024-11-04,08:00 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-soccer-meetup/events/304040527/?recId=c0332665-87c6-4f2b-8f7e-2315b61d1dd4&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/a/e/9/event_465836041.webp?w=640,"Cherry Beach: Soccer, 11 a side *READ DETAILS*",Toronto Soccer Meetup,3.0,Monday,2024-11-04,08:00 PM,EST,Inperson,1-10
https://www.meetup.com/cocktails-coffee/events/304260268/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/5/2/3/event_524386371.webp?w=640,Cocktails: Get Well,Cocktails and Coffee,10.0,Monday,2024-11-04,07:30 PM,EST,Inperson,10-50
https://www.meetup.com/improve-your-relationship-washington-dc/events/304043951/?recId=7066ff87-e5ce-44df-8ca4-f248631b13f8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/7/5/4/event_504005972.webp?w=640,How To Be More Extroverted And Expand Your Social Life!,"Improve Your Relationship, Washington DC",16.0,Monday,2024-11-04,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-thelema-occult-meetups/events/304088331/?recId=971205f7-d6f6-4bd6-9728-d77383b19665&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/3/9/4/event_524145972.webp?w=640,Monthly Thelemic Meetup,Toronto Thelema Occult Meetups,5.0,Monday,2024-11-04,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/philadelphia-professionals-thriving-with-adhd/events/304270178/?recId=3f3dd219-6d61-4f4e-a68b-26d845da685f&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/4/d/5/event_524398581.webp?w=640,Back to Basics: An 8DHD Mastermind,Philadelphia Professionals Thriving With ADHD,12.0,Monday,2024-11-04,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/sevenhillscameraclub/events/302693614/?recId=5e317710-e51b-496c-9442-c8a25869a816&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/7/a/5/event_522781957.webp?w=640,Move us with Movement,Seven Hills Camera Club (7HCC),18.0,Monday,2024-11-04,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/columbus-science-group/events/303709560/?recId=fcfb117b-91a5-4ee1-8f59-b486c346bda5&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/5/6/e/event_523765966.webp?w=640,"Earth's Second Moon and Other Tales of Asteroids, Meteors and Comets",Columbus Science Group,11.0,Monday,2024-11-04,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/wordpress-montclair-meetup/events/304161779/?recId=3f3dd219-6d61-4f4e-a68b-26d845da685f&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/5/8/a/event_523805514.webp?w=640,WordCamp Montclair 2025 Planning Meeting (Not a Regular Meetup),WordPress Montclair Meetup,9.0,Monday,2024-11-04,07:30 PM,EST,Inperson,1-10
